word_segment,times,co,fr_left,fr_right,score
护庇,7,37268.28571428572,2.8073549220576046,2.8073549220576046,293720.3659086217
荔枝,7,37268.28571428572,2.8073549220576046,2.8073549220576046,293720.3659086217
婚姻,7,37268.28571428572,2.8073549220576046,2.8073549220576046,293720.3659086217
划拳,8,32609.75,3.0,3.0,293487.75
缱绻,6,43479.66666666666,2.5849625007211556,2.5849625007211556,290532.48619454104
畏惧,6,43479.66666666666,2.5849625007211556,2.5849625007211556,290532.48619454104
嫦娥,10,26087.8,3.3219280948873617,3.3219280948873617,287884.25406794687
丁忧,5,52175.6,2.3219280948873617,2.3219280948873617,281296.9251206836
谦逊,5,52175.6,2.3219280948873617,2.3219280948873617,281296.9251206836
消灾,5,52175.6,2.3219280948873617,2.3219280948873617,281296.9251206836
琐碎,5,52175.6,2.3219280948873617,2.3219280948873617,281296.9251206836
米粥,5,52175.6,2.3219280948873617,2.3219280948873617,281296.9251206836
荒唐,9,28986.44444444444,3.169925001442312,2.94770277922009,270849.24229657685
腼腆,8,32609.75,3.0,2.75,269030.4375
酥酪,7,37268.28571428572,2.8073549220576046,2.5216406363433186,263827.4215267219
琵琶,7,37268.28571428572,2.8073549220576046,2.5216406363433186,263827.4215267219
妯娌,12,21739.83333333333,3.2516291673878226,3.584962500721156,253420.5552171502
徘徊,6,43479.66666666666,2.5849625007211556,2.251629167387823,253068.05023547812
尧舜,6,43479.66666666666,2.5849625007211556,2.2516291673878226,253068.0502354781
恹恹,6,43479.66666666666,2.5849625007211556,2.2516291673878226,253068.0502354781
粳米,6,43479.66666666666,2.5849625007211556,2.2516291673878226,253068.0502354781
堆砌,6,43479.66666666666,2.5849625007211556,2.2516291673878226,253068.0502354781
揉搓,6,43479.66666666666,2.2516291673878226,2.5849625007211556,253068.0502354781
哼哼,9,28986.44444444444,2.94770277922009,2.94770277922009,251861.81499688854
俞禄,12,21739.83333333333,3.188721875540867,3.584962500721156,248517.7818668085
团圆,13,20067.53846153846,3.7004397181410926,3.3346791410515952,247628.99251497322
杜撰,8,32609.75,2.75,2.75,246611.234375
严紧,9,28986.44444444444,3.169925001442312,2.6416041678685933,242723.41579295535
鸡蛋,15,17391.866666666665,3.6402239289418516,3.773557262275185,238905.0016212365
