word_segment,times,co,fr_left,fr_right,score
白海棠,7,26384.571428571428,2.8073549220576046,2.8073549220576046,207943.18348191548
紫菱洲,7,26384.571428571428,2.8073549220576046,2.8073549220576046,207943.18348191548
弯着腰,7,26384.571428571428,2.8073549220576046,2.8073549220576046,207943.18348191548
红楼梦,8,23086.5,3.0,3.0,207778.5
闺阁中,8,23086.5,3.0,3.0,207778.5
蒙圣恩,6,30782.0,2.5849625007211556,2.5849625007211556,205686.28224780236
牡丹亭,6,30782.0,2.5849625007211556,2.5849625007211556,205686.28224780236
查一查,6,30782.0,2.5849625007211556,2.5849625007211556,205686.28224780236
金文翔,6,30782.0,2.5849625007211556,2.5849625007211556,205686.28224780236
怀古其,10,18469.2,3.3219280948873617,3.3219280948873617,203811.43159759443
古圣贤,5,36938.4,2.3219280948873617,2.3219280948873617,199147.8457148142
要行令,5,36938.4,2.3219280948873617,2.3219280948873617,199147.8457148142
蔷薇硝,5,36938.4,2.3219280948873617,2.3219280948873617,199147.8457148142
脑袋上,5,36938.4,2.3219280948873617,2.3219280948873617,199147.8457148142
辆大车,5,36938.4,2.3219280948873617,2.3219280948873617,199147.8457148142
淡淡的,5,36938.4,2.3219280948873617,2.3219280948873617,199147.8457148142
系何人,5,36938.4,2.3219280948873617,2.3219280948873617,199147.8457148142
贵妃的,5,36938.4,2.3219280948873617,2.3219280948873617,199147.8457148142
了宗祠,5,36938.4,2.3219280948873617,2.3219280948873617,199147.8457148142
多浑虫,5,36938.4,2.3219280948873617,2.3219280948873617,199147.8457148142
正疑惑,5,36938.4,2.3219280948873617,2.3219280948873617,199147.8457148142
的胭脂,5,36938.4,2.3219280948873617,2.3219280948873617,199147.8457148142
缀锦阁,5,36938.4,2.3219280948873617,2.3219280948873617,199147.8457148142
搭赸着,5,36938.4,2.3219280948873617,2.3219280948873617,199147.8457148142
智能儿,10,18469.2,3.1219280948873616,3.3219280948873617,191540.7607235757
讪讪的,10,18469.2,3.1219280948873616,3.3219280948873617,191540.7607235757
抹骨牌,8,23086.5,3.0,2.75,190463.625
张德辉,8,23086.5,2.75,3.0,190463.625
林如海,11,16790.18181818182,3.2776134368191165,3.459431618637298,190378.4913401735
捱了打,7,26384.571428571428,2.5216406363433186,2.8073549220576046,186780.08163437818
折变了,6,30782.0,2.5849625007211556,2.251629167387823,179162.84368206954
打着伞,6,30782.0,2.5849625007211556,2.251629167387823,179162.84368206954
吃螃蟹,6,30782.0,2.5849625007211556,2.2516291673878226,179162.8436820695
弟兄们,6,30782.0,2.5849625007211556,2.2516291673878226,179162.8436820695
闭了眼,6,30782.0,2.2516291673878226,2.5849625007211556,179162.8436820695
芦雪庵,8,23086.5,2.75,2.75,174591.65625
玷辱了,8,23086.5,2.75,2.75,174591.65625
伙计们,8,23086.5,2.75,2.75,174591.65625
代儒道,12,15391.0,3.2516291673878226,3.4182958340544887,171071.4334523557
平安州,10,18469.2,2.9219280948873623,3.1219280948873616,168476.95497553828
临安伯,7,26384.571428571428,2.5216406363433186,2.5216406363433186,167770.82235243855
金麒麟,7,26384.571428571428,2.5216406363433186,2.5216406363433186,167770.82235243855
来孝敬,7,26384.571428571428,2.5216406363433186,2.5216406363433186,167770.82235243855
不尊重,7,26384.571428571428,2.235926350629033,2.8073549220576046,165616.97978684094
终久是,7,26384.571428571428,2.8073549220576046,2.235926350629033,165616.97978684094
默默的,5,36938.4,1.9219280948873625,2.3219280948873617,164840.52221873935
我撒谎,5,36938.4,1.9219280948873625,2.3219280948873617,164840.52221873935
碧纱厨,5,36938.4,1.9219280948873625,2.3219280948873617,164840.52221873935
镜子照,5,36938.4,1.9219280948873625,2.3219280948873617,164840.52221873935
要请教,5,36938.4,1.9219280948873625,2.3219280948873617,164840.52221873935
暖酒来,5,36938.4,1.9219280948873625,2.3219280948873617,164840.52221873935
斗篷来,5,36938.4,2.3219280948873617,1.9219280948873625,164840.52221873935
缓缓的,5,36938.4,2.3219280948873617,1.9219280948873625,164840.52221873935
到天亮,5,36938.4,1.9219280948873625,2.3219280948873617,164840.52221873935
嚼舌根,5,36938.4,2.3219280948873617,1.9219280948873625,164840.52221873935
咬着牙,5,36938.4,1.9219280948873625,2.3219280948873617,164840.52221873935
婶婶好,5,36938.4,1.9219280948873625,2.3219280948873617,164840.52221873935
突突的,5,36938.4,1.9219280948873625,2.3219280948873617,164840.52221873935
缘故来,5,36938.4,1.9219280948873625,2.3219280948873617,164840.52221873935
人吵嚷,5,36938.4,1.9219280948873625,2.3219280948873617,164840.52221873935
有阴阳,5,36938.4,1.9219280948873625,2.3219280948873617,164840.52221873935
试一试,5,36938.4,2.3219280948873617,1.9219280948873625,164840.52221873935
不希罕,13,14207.076923076924,3.1808329872054406,3.546593564294939,160271.7652127928
特特的,9,20521.33333333333,2.6416041678685933,2.94770277922009,159792.72641566608
政老爹,8,23086.5,2.75,2.5,158719.6875
詹光道,7,26384.571428571428,2.8073549220576046,2.128085278891395,157629.0992409817
龙禁尉,7,26384.571428571428,2.128085278891395,2.8073549220576046,157629.0992409817
旨意说,6,30782.0,2.2516291673878226,2.251629167387823,156059.6273385589
众子侄,6,30782.0,2.2516291673878226,2.2516291673878226,156059.62733855887
了代儒,6,30782.0,2.2516291673878226,2.2516291673878226,156059.62733855887
卜世仁,8,23086.5,2.75,2.4056390622295662,152728.91207794793
其词曰,6,30782.0,2.5849625007211556,1.9182958340544896,152639.40511633665
红香圃,6,30782.0,2.5849625007211556,1.9182958340544891,152639.40511633662
冲撞了,6,30782.0,2.5849625007211556,1.9182958340544891,152639.40511633662
伺候着,12,15391.0,3.2516291673878226,3.0220552088742,151241.2446587637
远远的,21,8794.857142857143,4.201841232302568,4.070656113151928,150429.44143126393
馒头庵,10,18469.2,2.5219280948873624,3.1219280948873624,145413.14922750083
暗暗的,18,10260.666666666666,3.8365916681089782,3.6835423624332315,145006.28533058034
茯苓霜,12,15391.0,2.9182958340544896,3.188721875540867,143223.00928249155
