,info,spend_time
2018-07-10 09:45:18.775827,测试生成停用词,0 days 00:01:45.571386000
2018-07-10 10:22:32.338812,测试，统计所有字数的停用词,0 days 00:00:12.729165000
2018-07-10 15:04:58.622074,计算红楼梦2字词的凝固度（词频>5）,0 days 00:24:31.464581000
2018-07-11 11:23:55.878219,"计算""王夫人""的凝固度",0 days 00:00:01.466918000
2018-07-11 14:37:41.450432,计算红楼梦2字词的凝固度,0 days 00:02:57.526413000
2018-07-11 14:59:51.977940,计算红楼梦3字词的凝固度,0 days 00:06:50.479923000
2018-07-11 15:04:50.676496,计算红楼梦4字词的凝固度,0 days 00:01:39.173546000
2018-07-11 15:27:31.633152,计算红楼梦2字词的凝固度(取词频大于4的),0 days 00:04:44.542829000
2018-07-11 18:50:59.004756,计算  红楼梦 所有词的凝固度(取词频大于4的),0 days 00:19:30.824551000
2018-07-11 21:25:49.020068,计算  红楼梦 2词的自由度(取词频大于4的),0 days 00:05:06.172901000
2018-07-11 22:00:25.054168,计算  红楼梦 所有词的自由度(取词频大于4的,第二张表也取词频大于4的),0 days 00:07:34.953843000
2018-07-12 13:44:32.418833,计算  红楼梦 3词的自由度(取词频大于4的),0 days 04:26:38.806589000
2018-07-12 15:59:48.231119,计算  红楼梦 4词的自由度(取词频大于4的),0 days 01:25:25.199069000
2018-07-12 16:18:27.717951,计算  红楼梦 5词的自由度(取词频大于4的),0 days 00:12:16.983461000
2018-07-12 17:26:28.564776,测试，通过计算score选择所有字数的词,0 days 00:00:01.449015000
2018-07-12 21:37:21.546323,测试，通过计算score选择所有字数的词,0 days 00:00:01.618191000
2018-07-12 21:45:10.990833,测试，通过计算score选择所有字数的词,0 days 00:00:01.604535000
2018-07-12 22:16:38.068652,测试，通过计算score选择所有字数的词,0 days 00:00:01.196561000
2018-07-12 22:22:06.758213,测试，通过计算score选择所有字数的词,0 days 00:00:01.338902000
2018-07-13 18:56:33.801636,测试统计所有字数词的词频，红楼梦，2000,0 days 00:00:36.224443000
2018-07-13 18:59:05.054280,测试统计所有字数词的词频，红楼梦，2000,0 days 00:00:33.191082000
2018-07-13 19:58:07.837219,测试，统计所有字数的停用词,0 days 00:00:09.971875000
2018-07-13 20:21:34.220679,测试统计所有字数词的词频，红楼梦，2000,0 days 00:00:33.563793000
2018-07-13 20:48:28.862580,测试，统计所有字数的停用词,0 days 00:00:09.305079000
2018-07-13 21:01:14.983517,测试，统计三国和水浒的词频,0 days 00:01:08.168216000
2018-07-13 21:24:56.333324,测试，统计三国和水浒的词频,0 days 00:01:08.404887000
2018-07-13 21:31:23.795289,测试，统计三国和水浒的词频,0 days 00:00:09.825065000
2018-07-13 21:45:43.250831,测试统计所有字数词的词频，红楼梦，2000,0 days 00:00:30.497186000
2018-07-13 21:46:56.908217,测试生成产生停用词的词频表,0 days 00:00:33.019117000
2018-07-13 21:48:35.762006,测试生成产生停用词的词频表,0 days 00:00:32.057515000
2018-07-13 22:14:41.967255,测试生成产生停用词的词频表,0 days 00:00:35.974685000
2018-07-13 22:24:55.158548,测试，通过计算score选择词,0 days 00:00:01.246386000
2018-07-14 19:07:11.414069,测试，通过计算score选择词,0 days 00:00:01.281027000
