word_segment,fr_left,fr_right
一个人影儿,1.9219280948873623,2.321928094887362
一个女孩儿,1.950212064914747,2.128085278891395
一个小丫头,2.8150724101159437,4.132944044980958
一个老婆子,2.6535442970305683,3.546593564294939
一句话没说,1.9219280948873623,1.5219280948873621
一天一天的,2.321928094887362,2.321928094887362
一宿无话次,2.5216406363433186,0.5916727785823275
一宿无话至,2.94770277922009,0.0
一席话说的,2.2516291673878226,2.584962500721156
一时想不起,1.9219280948873623,1.3709505944546687
一看不是别,2.2359263506290326,0.5916727785823275
一语未了只,3.641284011846736,0.9293636260137187
一面想一面,3.2359263506290334,3.3248629576173574
一面笑道我,2.321928094887362,2.321928094887362
一面说一面,4.902301008987678,5.844721601954222
一面说着一,3.321928094887362,0.0
一面走一面,2.5,2.75
下回分解正,2.5440244946990567,0.2631887790276082
下如今且说,0.0,1.2516291673878228
不在话下如,2.5216406363433186,0.0
不在话下这,2.9693894195291564,0.6143694458867569
不好意思的,2.2516291673878226,2.584962500721156
不待说完便,2.321928094887362,1.3709505944546687
不得一声儿,1.2516291673878228,2.2516291673878226
不成宝玉听,1.9219280948873623,1.3709505944546687
不提且说宝,2.251629167387823,0.6500224216483541
不提且说贾,3.0957952550009344,1.789929075309999
不敢则声只,1.3709505944546687,0.7219280948873623
不敢违拗只,2.5216406363433186,0.5916727785823275
不是什么大,2.845350936622437,0.9940302114769565
不是别人却,1.6854752972273344,0.0
不是老太太,2.2516291673878226,2.584962500721156
不知为什么,2.584962500721156,2.2516291673878226
不知在那里,2.321928094887362,2.321928094887362
不知好歹的,2.321928094887362,1.9219280948873623
不知怎么样,2.789898095464287,2.5995812306460646
不知是什么,1.6644977792004616,2.128085278891395
不知是那一,2.8073549220576046,1.1488348542809168
不知是那个,2.321928094887362,2.321928094887362
不知是那里,1.9219280948873623,1.9219280948873623
不知老太太,2.2516291673878226,1.7924812503605778
不知道如今,1.9219280948873623,2.321928094887362
不知道怎么,2.2516291673878226,1.7924812503605778
不知道我们,1.7924812503605778,1.9182958340544893
不知那里去,2.8073549220576046,0.5916727785823275
不等说完便,3.169925001442312,2.0588138903312014
不觉滴下泪,2.8073549220576046,0.0
不觉红了脸,1.8799649487271108,2.503258334775646
与宝玉宝玉,2.4040097573248604,3.459431618637298
与我什么相,2.584962500721156,0.0
与贾母贾母,2.2516291673878226,2.584962500721156
且不提且说,0.5916727785823275,2.5216406363433186
两个小丫头,3.456564762130954,3.3232314287976203
两个老婆子,2.584962500721156,2.584962500721156
两个老嬷嬷,2.321928094887362,1.9219280948873623
个人在那里,1.6644977792004616,2.8073549220576046
个什么东西,0.7219280948873623,2.321928094887362
个又说我有,1.584962500721156,2.584962500721156
个小丫头子,3.208694969562842,3.921928094887362
个小丫头进,1.5219280948873621,0.0
个月的月钱,1.3709505944546687,2.321928094887362
丫头在那里,1.5219280948873621,2.321928094887362
丫头答应着,1.5219280948873621,1.3709505944546687
为什么这样,2.321928094887362,2.321928094887362
么宝玉听了,2.584962500721156,2.584962500721156
么宝玉笑道,0.6500224216483541,2.2516291673878226
么宝玉道我,0.5435644431995964,2.75
么样凤姐儿,0.0,1.9219280948873623
么样王夫人,0.0,1.3709505944546687
么要紧的事,0.0,2.321928094887362
之孝家的进,0.0,0.7219280948873623
之孝家的道,0.0,2.7321588913645707
也不好意思,2.321928094887362,2.321928094887362
也不敢答言,1.9219280948873623,1.5219280948873621
也不敢言语,3.169925001442312,2.725480556997868
也不是什么,2.584962500721156,1.7924812503605778
也不知道我,2.321928094887362,2.321928094887362
也只得罢了,3.459431618637298,3.277613436819116
也是愿意的,2.2516291673878226,2.2516291673878226
也没有什么,3.521640636343319,3.3248629576173574
也罢了只是,2.321928094887362,1.9219280948873623
也罢了怎么,1.9219280948873623,2.321928094887362
也说不出来,2.0,3.0
了一个丫头,2.321928094887362,1.9219280948873623
了一回贾母,0.7219280948873623,2.321928094887362
了一回闲话,0.0,2.8073549220576046
了一夜次日,2.584962500721156,1.7924812503605778
了一想笑道,0.0,3.277613436819116
了一语未了,2.6416041678685933,0.0
了一遍贾政,1.9219280948873623,2.321928094887362
了一遍贾母,1.8423709931771086,2.8073549220576046
了一面说一,4.538909765557392,0.0
了不在话下,1.4425080971906141,1.6382533594712747
了不成宝玉,2.584962500721156,1.9182958340544896
了不觉红了,0.7219280948873623,0.0
了也未可知,2.8073549220576046,2.8073549220576046
了二人正说,2.321928094887362,1.3709505944546687
了众人听了,3.121928094887362,2.5219280948873624
了众人听说,1.9219280948873623,2.321928094887362
了众人笑道,2.584962500721156,2.584962500721156
了众人见他,2.321928094887362,2.321928094887362
了众人都笑,2.5216406363433186,1.5566567074628228
了你老人家,2.584962500721156,2.584962500721156
了便说道你,1.9219280948873623,2.321928094887362
了凤姐听了,3.0957952550009344,3.095795255000934
了凤姐听说,2.321928094887362,2.321928094887362
了凤姐笑道,3.7887549139935026,3.9705730958116834
了凤姐道你,2.321928094887362,2.321928094887362
了凤姐道我,2.321928094887362,2.321928094887362
了出来宝玉,1.3709505944546687,1.9219280948873623
了刘姥姥道,1.9219280948873623,2.321928094887362
了去了宝玉,1.3709505944546687,1.9219280948873623
了只见宝玉,2.321928094887362,1.9219280948873623
了周瑞家的,3.7841837197791883,3.484183719779189
了宝玉也不,1.9219280948873623,0.7219280948873623
了宝玉只得,2.75,3.0
了宝玉听了,4.243856189774723,4.163856189774724
了宝玉听说,3.459431618637298,3.0271691184406193
了宝玉宝玉,1.2516291673878228,2.2516291673878226
了宝玉笑道,4.866131719683244,3.975705009874684
