word_segment,times,co
一个人影儿,5,1934.0
一个女孩儿,7,1381.4285714285713
一个小丫头,26,111.14942528735632
一个老婆子,13,268.6111111111111
一句话没说,5,1934.0
一天一天的,5,1934.0
一宿无话次,7,604.375
一宿无话至,9,604.375
一席话说的,6,1611.6666666666667
一时想不起,5,1934.0
一看不是别,7,690.7142857142857
一语未了只,29,333.44827586206895
一面想一面,14,56.54970760233918
一面笑道我,5,40.291666666666664
一面说一面,139,56.54970760233918
一面说着一,10,38.1760757994473
一面走一面,8,56.54970760233918
下回分解正,112,86.33928571428571
下如今且说,6,1611.6666666666667
不在话下如,7,386.8
不在话下这,18,386.8
不好意思的,6,1611.6666666666667
不待说完便,5,690.7142857142857
不得一声儿,6,1611.6666666666667
不成宝玉听,5,743.8461538461538
不提且说宝,6,310.26737967914437
不提且说贾,11,391.06617647058823
不敢则声只,5,1934.0
不敢违拗只,7,1381.4285714285713
不是什么大,11,604.375
不是别人却,10,967.0
不是老太太,6,12.072409488139826
不知为什么,6,56.88235294117647
不知在那里,5,98.6734693877551
不知好歹的,5,1934.0
不知怎么样,15,311.93548387096774
不知是什么,7,18.09893048128342
不知是那一,7,402.9166666666667
不知是那个,5,402.9166666666667
不知是那里,5,33.46020761245675
不知老太太,6,45.39906103286385
不知道如今,5,805.8333333333334
不知道怎么,6,113.76470588235294
不知道我们,6,310.26737967914437
不知那里去,7,805.8333333333334
不等说完便,9,690.7142857142857
不觉滴下泪,7,1381.4285714285713
不觉红了脸,9,1074.4444444444443
与宝玉宝玉,11,568.8235294117648
与我什么相,6,1611.6666666666667
与贾母贾母,6,879.0909090909091
且不提且说,7,743.8461538461538
两个小丫头,15,107.28550295857988
两个老婆子,6,146.5151515151515
两个老嬷嬷,5,1934.0
个人在那里,7,224.88372093023256
个什么东西,5,537.2222222222222
个又说我有,6,1611.6666666666667
个小丫头子,20,143.25925925925927
个小丫头进,5,386.8
个月的月钱,5,1934.0
丫头在那里,5,967.0
丫头答应着,5,967.0
为什么这样,5,1934.0
么宝玉听了,6,29.602040816326532
么宝玉笑道,6,12.558441558441558
么宝玉道我,8,80.58333333333333
么样凤姐儿,5,276.2857142857143
么样王夫人,5,276.2857142857143
么要紧的事,5,743.8461538461538
之孝家的进,5,604.375
之孝家的道,11,604.375
也不好意思,5,333.44827586206895
也不敢答言,5,743.8461538461538
也不敢言语,9,1074.4444444444443
也不是什么,6,43.95454545454545
也不知道我,5,161.16666666666666
也只得罢了,11,879.0909090909091
也是愿意的,6,1611.6666666666667
也没有什么,14,210.2173913043478
也罢了只是,5,967.0
也罢了怎么,5,967.0
也说不出来,8,1208.75
了一个丫头,5,111.14942528735632
了一回贾母,5,155.96774193548387
了一回闲话,7,433.9102564102564
了一夜次日,6,460.4761904761905
了一想笑道,11,111.14942528735632
了一语未了,9,508.94736842105266
了一遍贾政,5,402.9166666666667
了一遍贾母,7,90.98118279569893
了一面说一,32,122.40506329113924
了不在话下,19,333.44827586206895
了不成宝玉,6,322.3333333333333
了不觉红了,5,1934.0
了也未可知,7,743.8461538461538
了二人正说,5,1934.0
了众人听了,10,48.037754595131645
了众人听说,5,122.0959595959596
了众人笑道,6,35.88126159554731
了众人见他,5,604.375
了众人都笑,7,107.9585326953748
了你老人家,6,743.8461538461538
了便说道你,5,1934.0
了凤姐听了,11,88.64166666666667
了凤姐听说,5,201.45833333333334
了凤姐笑道,22,70.3505291005291
了凤姐道你,5,201.45833333333334
了凤姐道我,5,201.45833333333334
了出来宝玉,5,1934.0
了刘姥姥道,5,879.0909090909091
了去了宝玉,5,247.94871794871796
了只见宝玉,5,604.375
了周瑞家的,20,151.09375
了宝玉也不,5,138.14285714285714
了宝玉只得,8,293.030303030303
了宝玉听了,25,15.417729591836734
了宝玉听说,11,28.904891304347824
了宝玉宝玉,6,56.88235294117647
了宝玉笑道,59,21.225074404761905
了宝玉道你,13,25.344758064516128
了宝玉道我,10,12.591145833333334
了宝玉道这,6,60.4375
了宝钗笑道,12,38.171052631578945
了宝钗道我,5,60.4375
了尤氏笑道,5,1934.0
了平儿笑道,10,293.030303030303
了探春笑道,10,967.0
了林之孝家,8,537.2222222222222
了林黛玉听,6,508.94736842105266
了林黛玉道,5,254.47368421052633
了正说着只,15,311.93548387096774
了没有宝玉,5,1934.0
了湘云笑道,6,805.8333333333334
了王夫人听,12,117.68762677484787
了王夫人忙,6,166.72413793103448
了王夫人等,6,43.493253373313344
了王夫人见,5,166.72413793103448
了王夫人道,24,66.6896551724138
了王夫人那,5,75.78369905956113
了紫鹃笑道,5,1934.0
了老太太太,8,33.79641764962866
了老太太的,13,112.94699011680144
了薛姨妈听,5,483.5
了薛姨妈笑,6,483.5
了薛姨妈道,9,310.82142857142856
了袭人笑道,11,127.69507803121249
了袭人道你,6,110.09487666034155
了要知端的,13,743.8461538461538
了说话之间,6,1611.6666666666667
了贾母听了,8,148.76923076923077
了贾母听说,6,148.76923076923077
了贾母王夫,11,74.38461538461539
了贾母笑道,23,100.63800904977376
了贾母贾母,5,155.96774193548387
了贾珍笑道,5,148.76923076923077
了贾琏笑道,7,148.76923076923077
了还是这么,5,967.0
了这会子又,8,604.375
了这话不觉,5,743.8461538461538
了这话越发,5,967.0
了这里凤姐,7,235.85365853658536
了这里宝玉,10,235.85365853658536
了这里贾母,6,235.85365853658536
了邢王二夫,12,805.8333333333334
了黛玉笑道,14,40.291666666666664
了黛玉道你,6,93.58064516129032
事下回分解,6,420.4347826086956
事且听下回,6,219.77272727272728
二个女孩子,5,805.8333333333334
二人正说着,7,1381.4285714285713
二十两银子,9,293.030303030303
二奶奶打发,6,1611.6666666666667
二爷不在家,7,805.8333333333334
二百两银子,6,293.030303030303
二门上小厮,5,1934.0
于是凤姐儿,6,1611.6666666666667
五十两银子,7,352.5520833333333
五百两银子,5,366.2878787878788
些人在那里,5,268.6111111111111
些没要紧的,10,644.6666666666666
人吓了一跳,5,420.4347826086956
人听了这话,12,120.12422360248448
人听了都笑,11,420.4347826086956
人家的姑娘,5,1934.0
人正说着只,10,311.93548387096774
人王夫人凤,5,805.8333333333334
人王夫人道,7,94.01388888888889
人笑道这是,6,483.5
人见他这般,5,1934.0
人道可不是,5,265.65934065934067
人道老太太,9,15.005172413793103
人都在那里,5,56.22093023255814
人都笑了贾,7,644.6666666666666
人都笑起来,8,297.53846153846155
什么不知道,5,172.67857142857142
什么好东西,8,268.6111111111111
什么宝玉笑,5,115.11904761904762
什么宝玉道,15,172.67857142857142
什么薛姨妈,5,210.2173913043478
什么袭人道,6,172.67857142857142
什么要紧的,7,568.8235294117648
什么说着便,5,1934.0
今且说宝玉,5,967.0
从今以后我,5,1934.0
从那边来了,6,568.8235294117648
从那里来的,5,244.1919191919192
从那里说起,6,879.0909090909091
他们姊妹们,8,1208.75
他几两银子,6,386.8
他宝玉笑道,5,14.651515151515152
他的手笑道,6,1611.6666666666667
们娘儿两个,7,743.8461538461538
们家的规矩,5,1934.0
们爷儿两个,6,743.8461538461538
们这样人家,12,805.8333333333334
们那里知道,5,644.6666666666666
们都在这里,5,322.3333333333333
伏侍老太太,7,1381.4285714285713
众人听了都,36,230.23809523809524
众人看了都,6,230.23809523809524
众人笑道这,8,56.67399267399267
众人答应了,6,235.85365853658536
众人都笑了,15,89.70315398886828
众人都笑说,8,197.3469387755102
众人都笑起,7,197.3469387755102
众人都笑道,14,92.0952380952381
众人都道这,5,92.0952380952381
何下回分解,8,420.4347826086956
何且听下回,6,219.77272727272728
何事下回分,6,483.5
作了一个揖,10,967.0
作什么宝玉,9,460.4761904761905
你为什么不,6,460.4761904761905
你什么相干,6,805.8333333333334
你们这些人,6,743.8461538461538
你好你怎么,6,879.0909090909091
你袭人姐姐,7,743.8461538461538
你还不知道,11,166.72413793103448
你这会子又,8,604.375
你这小蹄子,5,1934.0
你那里知道,10,644.6666666666666
你难道不知,5,1934.0
依我的主意,8,1208.75
便大哭起来,6,439.54545454545456
便起身告辞,5,1934.0
倒不好意思,6,604.375
倒吓了一跳,13,420.4347826086956
倒没有什么,6,210.2173913043478
倘或老太太,6,1611.6666666666667
做什么宝玉,7,460.4761904761905
儿一面说一,6,122.40506329113924
儿笑道奶奶,6,1611.6666666666667
冯紫英笑道,6,879.0909090909091
冯紫英道这,5,879.0909090909091
冷笑了两声,5,1934.0
几个小丫头,11,120.32805429864253
几个老婆子,6,136.51764705882354
凤姐儿凤姐,5,125.58441558441558
凤姐儿听了,10,70.07246376811594
凤姐儿笑道,23,70.07246376811594
凤姐儿说道,12,66.6896551724138
凤姐儿道你,8,70.07246376811594
凤姐冷笑道,7,70.07246376811594
凤姐听了笑,6,223.15384615384616
凤姐听了这,7,85.359394703657
凤姐忙笑道,6,70.07246376811594
凤姐笑道你,15,70.07246376811594
凤姐笑道可,5,100.72916666666667
凤姐笑道我,18,70.07246376811594
凤姐笑道这,10,70.07246376811594
凤姐答应了,6,235.85365853658536
出一个人来,7,1381.4285714285713
出去了这里,13,537.2222222222222
出来王夫人,5,193.4
分解正文第,108,89.53703703703704
刘姥姥便说,5,193.4
刘姥姥刘姥,5,644.6666666666666
刘姥姥听了,8,193.4
刘姥姥笑道,15,193.4
刘姥姥道我,6,193.4
刘姥姥道这,11,193.4
刚说到这里,5,805.8333333333334
刚说着只见,7,98.96198830409357
到了怡红院,9,644.6666666666666
到了自己房,5,439.54545454545456
到底是什么,8,87.9090909090909
到底是怎么,12,241.75
到怡红院中,5,805.8333333333334
到林姑娘那,7,1381.4285714285713
到王夫人那,6,879.0909090909091
到老太太那,9,604.375
到自己房中,18,537.2222222222222
到贾母房中,7,201.45833333333334
到贾母跟前,7,402.9166666666667
到贾母那边,10,402.9166666666667
到这步田地,8,1208.75
到这里来了,5,743.8461538461538
到那里去了,7,371.9230769230769
十二个女孩,5,1934.0
千恩万谢的,7,1381.4285714285713
半新不旧的,5,1934.0
去一面说一,6,122.40506329113924
去不在话下,10,333.44827586206895
去不提且说,6,508.94736842105266
去了不在话,14,690.7142857142857
去了凤姐儿,5,247.94871794871796
去了宝玉听,8,135.71929824561403
去了宝玉笑,11,168.84126984126985
去了宝玉道,11,56.28042328042328
去了林黛玉,5,358.14814814814815
去了王夫人,10,9.873391872575047
去了要知端,6,1611.6666666666667
去了这里凤,5,322.3333333333333
去了这里宝,9,322.3333333333333
去了这里薛,5,322.3333333333333
去了这里贾,11,221.60416666666666
去凤姐笑道,7,153.4920634920635
去回老太太,7,58.25301204819277
去宝玉听了,9,46.74006444683136
去宝玉笑道,5,15.147243107769423
去宝玉道我,5,53.01535087719298
去林之孝家,5,537.2222222222222
去袭人笑道,6,197.3469387755102
又不知怎么,6,805.8333333333334
又伤起心来,5,1934.0
又打发人来,6,879.0909090909091
又有一副对,5,1934.0
又看了一回,5,420.4347826086956
又说了一回,9,210.2173913043478
又说了几句,9,690.7142857142857
又都笑起来,5,743.8461538461538
只得答应了,5,98.27235772357723
只得答应着,7,225.63333333333333
只怕老太太,6,119.38271604938272
只管告诉我,6,1611.6666666666667
只见一个小,16,604.375
只见凤姐儿,9,247.94871794871796
只见小丫头,7,119.38271604938272
只见林黛玉,7,358.14814814814815
只见王夫人,18,93.42995169082126
叫我怎么样,5,1934.0
可怎么样呢,6,879.0909090909091
可笑不可笑,5,1934.0
史湘云笑道,6,805.8333333333334
司棋的母亲,5,1934.0
叹了一口气,8,1208.75
吃了两杯酒,5,1934.0
向宝玉道你,5,244.1919191919192
向王夫人道,6,161.16666666666666
吓了一大跳,6,568.8235294117648
吓了一跳回,5,568.8235294117648
吓了一跳忙,6,568.8235294117648
听了冷笑道,7,86.33928571428571
听了忙笑道,5,29.84567901234568
听了点头道,6,1611.6666666666667
听了笑道你,9,86.33928571428571
听了笑道这,8,86.33928571428571
听了这些话,9,197.3469387755102
听了这话一,5,197.3469387755102
听了这话不,7,197.3469387755102
听了这话便,6,197.3469387755102
听了这话又,9,197.3469387755102
听了这话忙,8,197.3469387755102
听了这话越,5,241.75
听了都笑道,6,32.233333333333334
听如此说便,10,967.0
听见王夫人,5,18.7694099378882
听见老太太,7,86.33928571428571
吴新登家的,5,1934.0
告诉了一遍,7,322.3333333333333
告诉了宝玉,5,284.4117647058824
告诉了宝钗,5,284.4117647058824
告诉二奶奶,7,284.4117647058824
告诉老太太,10,284.4117647058824
呢一语未了,5,508.94736842105266
呢一面说一,9,122.40506329113924
呢凤姐听了,8,182.0235294117647
呢凤姐笑道,9,81.26050420168067
呢周瑞家的,12,151.09375
呢宝玉听了,18,43.320059731209554
呢宝玉笑道,16,22.46225319396051
呢宝玉道我,7,34.395325203252035
呢林黛玉道,5,967.0
呢正说着只,6,311.93548387096774
呢王夫人听,5,218.77828054298644
呢王夫人道,8,99.17948717948718
呢贾母笑道,5,88.87867647058823
呢贾母道你,6,604.375
呢贾琏听了,5,604.375
呢黛玉笑道,5,10.411283376399656
周瑞家的便,9,112.44186046511628
周瑞家的又,8,112.44186046511628
周瑞家的听,12,112.44186046511628
周瑞家的回,6,112.44186046511628
周瑞家的忙,7,112.44186046511628
周瑞家的笑,5,112.44186046511628
周瑞家的等,9,112.44186046511628
周瑞家的答,5,112.44186046511628
周瑞家的道,25,102.87234042553192
周瑞的干儿,8,1208.75
命小丫头子,14,179.07407407407408
和你好你怎,6,1611.6666666666667
和老太太说,7,805.8333333333334
咕咕唧唧的,6,1611.6666666666667
咱们两个人,5,743.8461538461538
咱们娘儿们,5,967.0
咱们这样人,8,1208.75
哭得死去活,5,879.0909090909091
哭的死去活,6,879.0909090909091
哭起来袭人,5,1934.0
啐了一口道,6,1611.6666666666667
善保家的道,5,1934.0
