word_segment,times,co
上戴,9,181.24918943955535
上房,51,24.626711682196284
上所,14,17.817970709051703
上才,6,2.0562136940089695
上挂,7,49.927438757655295
上是,9,1.5989809135819621
上月,14,13.240425747886487
上次,15,69.39721217280272
上歪,8,152.15981335666376
上没,13,2.4905845219263654
上浇,5,342.3595800524934
上炕,13,50.57584705320926
上然,5,20.378546431696037
上犹,5,142.64982502187226
上现,6,25.676968503937008
上略,5,27.171395242261383
上穿,15,79.0060569351908
上罢,7,2.958663037490684
上老,10,2.5229151072401876
上脸,5,5.882467011211228
上茶,19,21.90179131648948
上薛,7,3.8904497733237893
上袭,6,2.4053366280034667
上要,7,2.089378431009114
上起,5,1.8307998933288419
上轿,10,53.4936843832021
上过,13,6.910985311618656
上这,20,1.6898301088474503
上香,13,11.1545727836652
上麝,5,14.031130330020224
上黛,7,2.410982958116151
下世,8,43.01900482334996
下个,7,6.978813008751481
下乱,5,44.34588971238186
下作,8,12.646790769827419
下你,11,2.9207596101389917
下几,6,10.24390052356021
下凡,8,165.55798825955895
下凤,6,3.0533235539672754
下剩,10,426.8291884816754
下句,8,29.53196547332673
下吃,7,4.913141737918566
下哭,8,29.37319146540562
下场,6,117.0731488406881
下婆,8,11.698958485150845
下子,17,2.9206928117488227
下宝,22,3.4626382656268664
下家,6,2.7082354325340936
下尤,7,17.640173103301713
下怎,5,5.221152152681045
下想,9,5.825914989702489
下房,13,12.521928237544214
下打,10,9.316871781318971
下明,7,10.576298475652134
下棋,13,88.78047120418849
下没,7,2.675146564630534
下炕,5,38.802653498334124
下着,7,1.7897742085341686
下站,9,38.900888064152696
下竟,6,12.087198257888152
下给,6,5.964425341228652
下罢,8,6.74495507724129
下袭,13,10.39583971946001
下该,5,9.564799741886283
下贾,27,4.585680413431579
下轿,6,64.02437827225131
下还,6,2.7893534441280354
下道,7,0.686259964254201
下都,10,9.485093077370564
下酒,8,45.52844677137871
下针,5,131.33205799436166
下雨,9,77.80177612830539
下雪,18,105.97138472648493
下黛,5,3.4352449777197216
不了,82,1.760505964505125
不介,6,176.8664406779661
不仗,5,73.69435028248587
不作,25,10.235326428123038
不值,15,85.58053581191908
不像,70,50.740372325646014
不全,9,37.018557351202205
不净,5,7.431363053696055
不劝,8,17.468290437329987
不单,5,25.266634382566586
不又,7,0.6955421824414397
不叫,86,10.468350927945687
不吃,66,11.997106973017228
不告,23,9.373106303210186
不命,8,3.1442922787193974
不够,36,53.95925308819305
不大,168,28.988841008681273
不奇,6,14.149315254237289
不妥,30,93.08760035682427
不嫁,5,22.108305084745762
不守,6,96.47260400616332
不完,7,5.5270762711864405
不对,13,37.69284801333704
不尊,7,176.8664406779661
不希,13,176.8664406779661
不常,10,12.03173065836504
不往,11,8.685405569007264
不很,10,10.719178222907036
不心,7,1.397364655469258
不怎,9,2.4339418441921943
不怪,7,13.31252779296519
不恼,10,57.05369054127939
不惯,20,176.8664406779661
不懂,38,156.30057548285376
不找,10,5.875961484317811
不承,14,176.8664406779661
不把,14,6.585452578434908
不拘,23,176.8664406779661
不挑,5,88.43322033898305
不换,8,78.60730696798494
不敷,7,176.8664406779661
不方,6,3.4566731077126924
不旧,6,18.296528345996492
不替,5,6.963245695982917
不枉,29,176.8664406779661
不清,28,40.26227917872399
不灵,7,31.745258583224686
不犯,24,114.7241777370591
不独,7,37.51712378017463
不画,5,18.423587570621468
不疼,19,36.134004009476946
不白,5,11.194078523921906
不真,23,22.98264483386
不睡,5,3.1925350302881967
不瞒,9,113.69985472154964
不瞧,6,1.3999982111712357
不穷,5,80.39383667180277
不笑,11,0.6694875593453637
不给,45,11.585138035674635
不肖,11,176.8664406779661
不舒,9,176.8664406779661
不落,6,18.617520071364854
不表,6,62.42344965104686
不认,47,70.4468026429187
不讲,6,35.37328813559322
不该,64,31.707149029103167
不谙,6,176.8664406779661
不赏,6,23.58219209039548
不辜,7,176.8664406779661
不这,7,0.30554419663024746
不送,12,8.388922087492464
不遂,14,79.87516675779115
不配,17,71.58879741727199
不错,48,111.70512042818912
不长,16,44.216610169491524
不雅,9,176.8664406779661
不露,6,62.42344965104686
不领,8,34.51052501033485
不饶,6,46.139071481208546
不饿,5,176.8664406779661
与丫,6,4.688677210639828
与凤,28,16.956567358896148
与史,5,70.06069395208938
与姑,9,6.427360675393788
与宝,66,12.361942219340776
与尤,18,53.98034279408215
与探,8,29.15530223656455
与晴,5,25.718482590007493
与林,6,10.074843593110373
与湘,5,14.512572318647084
与自,9,16.326643858477972
与芳,6,41.32393473784255
与荣,5,30.100149994230993
与薛,15,19.78987134360966
与袭,18,17.129593556435903
与贾,77,15.56284800746238
与这,7,1.4039803427713864
与邢,9,39.3243895085921
与黛,19,15.534584453763078
专管,8,1272.5756097560975
且也,6,3.820559634460673
且人,6,3.038423163379002
且他,20,8.469198767009217
且你,11,5.141613691581083
且出,7,10.665930741240443
且别,32,55.67364468778968
且叫,5,4.136967532611695
且吃,5,6.177814825164226
且告,5,13.8502622693198
且坐,5,13.387558630032945
且忙,6,6.843659003663901
且按,5,300.55069124423966
且无,7,38.960274790919954
且是,6,3.7432364244222893
且有,9,7.603531190999738
且林,5,12.419450051414861
且站,5,38.04439129673919
且等,7,9.247713576745834
且素,8,58.6440373159492
且老,7,6.201488102312977
且这,14,4.153711428844378
且连,9,48.51939410220909
且那,6,5.613398124406032
且都,8,13.357808499743983
且问,13,25.62071466344338
世交,18,393.4481776288228
世仁,8,306.01524926686216
世代,6,388.4039702233251
世俗,5,191.25953079178885
世兄,17,244.55064791838984
世宦,7,981.7989247311828
世家,11,12.2365648252777
世界,7,1683.0838709677419
世的,14,2.294592871121666
世翁,13,1094.0045161290323
世职,14,1178.1587096774194
世袭,18,35.47483568784468
世面,17,125.49309564233164
业的,10,25.40442107313273
东府,37,404.37729367406786
东道,13,8.85186229217237
东院,5,95.62976539589442
丢不,5,4.3828247327074665
丢了,82,19.378703713769102
丢在,10,18.488611075675752
丢开,23,285.2074341667459
丢的,14,2.6541932464467033
两一,5,1.4102672219555337
两不,5,1.0896076329922089
两两,6,5.0242599713682266
两件,47,177.7201124768089
两出,15,9.201591455801124
两剂,11,204.7708006279435
两块,12,123.57541546599298
两声,23,68.71657619276667
两夜,7,37.23105465962609
两天,50,44.24165544562515
两套,7,99.64782276546983
两字,15,66.00050598751898
两宅,7,154.00118063754428
两层,5,484.00371057513917
两年,11,28.778599007170435
两府,26,28.995613997588983
两张,10,94.9026883480665
两来,6,2.09223506012308
两杯,17,121.00092764378479
两样,19,16.334050623317307
两根,5,42.45646583992448
两桌,8,62.45209168711473
两步,9,103.71508083752981
两溜,5,86.42923403127485
两点,7,14.85976304397357
两王,7,5.933495576227625
两瓶,7,484.00371057513917
两的,11,0.5184575729210761
两盆,7,78.79130172153428
两盘,7,112.93419913419913
两石,5,60.500463821892396
两腮,5,484.00371057513917
两遍,10,268.8909503195217
两钟,5,17.5363663251862
两银,119,165.0327838350761
两间,8,22.125883912006362
两首,10,88.0006746500253
严紧,9,28986.444444444445
丧事,12,170.3507645426348
丧礼,5,661.4553752535497
个三,15,9.74589061566049
个下,5,0.9250336855542161
个与,10,10.201306064990419
个世,8,6.875840938292756
个东,24,6.178526880871556
个丫,110,11.545131960090119
个为,5,5.148772400726297
个主,45,28.229476266051076
个了,12,0.15900069176314274
个事,15,1.5146249985485314
个二,15,1.6605574274147692
个五,16,31.186849970113567
个亲,18,7.33123711984013
个什,59,4.037670544720033
个今,5,4.401369955459576
个他,8,0.3075842899482846
个令,9,109.1539748953975
个众,5,2.662292070619451
个会,5,1.6792919214676536
个伶,8,58.21545327754533
个体,9,15.593424985056783
个作,18,4.548082287308229
个你,21,0.891226078072841
个侍,7,14.149589338292268
个俗,6,14.884632940281476
个信,20,23.224249977744147
个倒,21,2.604810764549258
个做,9,3.3076962089514392
个傻,5,18.81965084403405
个儿,19,0.4327891325151403
个光,11,10.262339520080106
个内,5,3.100965195891974
个凤,13,1.0573782963041485
个出,9,1.245102375232671
个利,9,19.26246615801132
个别,5,0.7898261569855101
个包,5,5.053424763675809
个十,14,14.69380431284197
个千,7,16.256974984420903
个单,5,15.593424985056783
个却,6,5.037875764402961
个原,15,3.9837217115108574
个只,8,0.8993118425985375
个叫,5,0.3756158805760409
个可,13,3.125554347225038
个吃,6,0.6730974813693575
个呆,14,15.130253945896682
个呢,17,1.4474396046971585
个和,14,2.0402612129980837
个嘴,10,6.346161331127761
个四,9,9.096164574616457
个园,6,1.6622432725187435
个地,26,12.502217388900153
个坐,11,2.6741508326266645
个外,16,5.276325070472386
个多,20,6.908479423759335
个天,9,1.7959520549516954
个太,10,0.2983164113019882
个头,38,1.8717739377369607
个奶,7,0.437115460107427
个好,91,5.958615306227458
个妥,5,9.57491007854364
个妹,7,0.7094501618085259
个姊,11,6.745470358704339
个姐,6,0.24492290552445212
个姑,33,3.1652734372127567
个姨,8,1.09840477882161
个娘,5,0.3145647691510014
个婆,58,13.556596453818104
个媳,33,15.938412263487244
个嬷,5,1.9353541648120123
个子,8,0.21968095576432198
个学,5,4.263827144351464
个孩,10,3.7381498251848457
个孽,7,27.288493723849374
个安,5,5.512827014919065
个宝,35,0.8804768659458198
个实,6,5.900214859210675
个宫,5,19.49178123132098
个家,18,1.2985932241355946
个对,5,8.947047122573565
个屋,5,1.516027429102743
个已,5,2.0440819268801027
个帖,10,23.729124977260323
个平,8,2.114362709838208
个年,11,6.490236345131742
个弄,5,5.6264935513091485
个当,10,10.701370087784067
个形,10,60.641097164109716
个很,5,3.3076962089514392
