word_segment,times,co
一一的都,5,4926.9
一一答应,5,326.28476821192055
一万银子,5,373.25
一两银子,14,373.25
一个一个,7,6.88224377394636
一个丫头,22,66.98294401186503
一个丫鬟,9,621.9088359046283
一个主意,7,354.45323741007195
一个人不,6,42.768229166666664
一个人了,5,228.09722222222223
一个人在,5,42.16792194453954
一个人就,5,79.93024010382868
一个人影,5,1071.0652173913043
一个人来,10,34.04436152570481
一个人没,5,162.2826086956522
一个人的,5,22.809722222222224
一个儿子,8,86.8941798941799
一个大夫,5,228.09722222222223
一个女孩,10,2239.5
一个姑娘,6,153.965625
一个婆子,13,23.72211111111111
一个媳妇,10,656.92
一个宝玉,10,48.25563173359451
一个小丫,26,373.0326150262085
一个小厮,8,386.4235294117647
一个月的,6,228.09722222222223
一个男人,10,134.1748366013072
一个老婆,13,1071.0652173913043
一五一十,8,6158.625
一件东西,8,226.0045871559633
一件大事,7,718.50625
一件正经,5,1824.7777777777778
一会子又,6,394.152
一会子就,9,2111.5285714285715
一位姑娘,5,92.96037735849056
一位小姐,5,1539.65625
一僧一道,5,9853.8
一副对联,11,4479.0
一口咬定,5,9853.8
一句话不,5,676.771978021978
一句话也,11,1759.607142857143
一句话我,6,1759.607142857143
一句话没,6,1759.607142857143
一回儿又,5,933.125
一回只见,5,50.31556372549019
一回贾母,6,42.917247386759584
一回闲话,8,443.86486486486484
一声儿不,7,1449.0882352941176
一声笑了,5,284.1349480968858
一声说道,5,60.88606030647553
一处坐着,5,2898.176470588235
一夜无眠,5,9853.8
一夜次日,6,895.8
一天一天,5,9853.8
一家子的,7,1331.5945945945946
一宿无话,18,2737.1666666666665
一年半载,6,8211.5
一心一计,6,8211.5
一想笑道,11,48.25563173359451
一把拉住,15,3284.6
一早起来,8,188.77011494252875
一时半刻,7,4105.75
一时只见,11,51.08964932126697
一时回来,5,63.16538461538462
一时宝玉,5,24.127815866797256
一时宝钗,6,136.41624365482232
一时想不,7,947.4807692307693
一时摆上,5,947.4807692307693
一时高兴,6,2346.1428571428573
一概不管,5,2052.875
一概不许,5,4926.9
一段故事,5,9853.8
一点儿不,7,3519.214285714286
一班小戏,5,9853.8
一看不是,7,34.98508825319537
一看却是,6,328.09544950055493
一看原来,5,73.7780772686433
一看只见,25,113.92203107658158
一看果然,5,193.66745283018867
一看见是,5,464.8018867924528
一瞧只见,5,241.51470588235293
一笑说道,5,207.01260504201682
一般的也,5,9853.8
一见宝玉,6,46.21857410881801
一言不发,5,4926.9
一言未了,5,483.02941176470586
一语未了,41,861.0524296675192
一语未完,5,1071.0652173913043
一起一起,5,9853.8
一辈子不,8,927.4164705882353
一辈子也,6,514.111304347826
一辈子的,11,585.9016216216216
一迳去了,12,317.86451612903227
一遍凤姐,5,38.990978157644825
一遍贾政,6,191.08855850032322
一遍贾母,7,66.76016260162602
