word_segment,times,co
一一的,31,60.67411300919842
一一答,5,130.21150592216583
一万银,5,1291.5524475524476
一下子,7,75.8488706365503
一两个,8,21.952841542233116
一两件,7,146.00158102766798
一两天,6,108.05967820575329
一两银,14,516.620979020979
一个一,8,60.67411300919842
一个与,6,16.789673040210904
一个东,5,7.51960393137199
一个丫,31,22.71049479187326
一个主,9,32.00531423290203
一个二,5,3.810156456297861
一个五,9,122.90040665434381
一个作,6,26.60181962215234
一个你,6,24.26964520367937
一个儿,11,60.67411300919842
一个出,5,3.5340581623632334
一个十,9,43.274791075473175
一个去,5,0.8830574715061779
一个又,16,3.2786556397050504
一个呢,5,3.3800991929137463
一个地,5,23.066893140830295
一个外,7,12.711330475478821
一个头,5,1.0783007532668616
一个女,23,49.074815157116454
一个好,20,5.510734761651144
一个姑,8,8.48173958967176
一个婆,13,23.86059268976209
一个媳,10,42.673752310536045
一个字,15,30.848495646170633
一个宝,13,2.37838705267725
一个小,74,57.942342586782885
一个就,5,1.8005802662673436
一个心,8,4.816790384258037
一个才,6,4.188834582629305
一个揖,12,341.39001848428836
一个月,28,49.272786172990074
一个来,14,22.353620582336262
一个极,7,341.39001848428836
一个林,7,33.19069624152804
一个没,5,3.1091987111501673
一个法,5,40.64166886717719
一个男,10,200.81765793193432
一个的,9,24.821228049217538
一个笑,5,0.7121193543685614
一个老,24,13.344235250200196
一个说,9,27.30335085413929
一个贾,5,1.0708595310046687
一个跟,7,19.42870023894324
一个还,5,2.4702606257907984
一个这,6,60.67411300919842
一个道,11,60.67411300919842
一个金,10,148.4304428192558
一个钱,9,22.59198651734261
一个香,5,60.962503300765775
一二十,6,538.1991257892181
一二年,12,477.651724137931
一二百,11,3335.9802955665023
一五一,8,60.67411300919842
一件东,8,166.89664520501526
一件你,6,9.550976082740789
一件我,5,60.67411300919842
一件是,10,60.67411300919842
一件正,5,61.502497502497505
一件衣,5,563.7728937728938
一会儿,11,7.700137582862406
一会子,76,61.984023315890575
一会方,6,46.54536290322581
一位姑,5,286.7888198757764
一位小,5,211.80275229357798
一僧一,5,60.67411300919842
一则怕,5,1291.5524475524476
一副对,13,7103.538461538462
一半是,7,35.39323258869908
一叠声,9,1442.90625
一口便,5,12.750745609190323
一口咬,6,4197.545454545455
一口气,15,338.5117302052786
一口血,6,4197.545454545455
一口说,5,60.67411300919842
一口道,7,26.54492444152431
一句不,6,60.67411300919842
一句也,7,30.174909557708016
一句你,6,19.604635117204776
一只手,6,1273.7379310344827
一吊钱,10,1358.0294117647059
一听见,6,114.71552795031056
一味的,11,60.67411300919842
一回便,13,9.290989157269891
一回儿,17,7.049170537640685
一回又,17,12.003899649031586
一回只,5,4.580927436156914
一回各,5,235.2764331210191
一回因,6,15.581220736491332
一回大,6,13.393345338957445
一回头,7,5.201942614804592
一回子,7,3.3817967799735804
一回就,7,8.68636620172539
一回方,22,101.0953423566879
一回来,5,0.9979294902828688
一回神,6,392.12738853503186
一回话,10,10.80240739765928
一回贾,10,7.380063774185041
一回那,6,4.998791071976327
一回闲,8,162.2596090489787
一坐便,5,51.00298243676129
一坐就,6,106.26697353279631
一块儿,19,41.23073669369052
一块玉,6,11.74337671145776
一块石,5,1539.1
一声也,5,4.6535980649062685
一声便,7,8.925521926433227
一声儿,32,23.673150254750535
一声又,5,6.298837716904944
一声宝,5,5.623721134171295
一声就,6,13.28337169159954
一声笑,10,8.755831152577086
一声说,9,60.67411300919842
一声道,9,60.67411300919842
一处吃,11,172.44817927170868
一处坐,6,90.15962899682695
一处好,5,14.614252480653278
一处的,14,38.610799187671724
一处说,5,60.67411300919842
一处顽,10,1097.397504456328
一夜无,7,552.4974358974359
一夜次,7,788.319512195122
一夜没,6,100.92459016393443
一大堆,5,10260.666666666666
